LowBirthWeightIndLowBirthWeightIndDesc,BirthAgeGroupAgeGroupDesc,YearBirthYearDesc,CountyCountyName,BirthCount,Birth Count_PCT,SORT
Low birth weight (<2500g),45 and older,2006,Athens,0,0.0,128
Normal birth weight (2500g+),Less than 15,2006,Athens,0,0.0,130
Normal birth weight (2500g+),15 to 17,2006,Athens,*,*,131
Normal birth weight (2500g+),18 to 19,2006,Athens,37,6.3,132
Normal birth weight (2500g+),20 to 24,2006,Athens,175,30.0,133
Normal birth weight (2500g+),25 to 29,2006,Athens,160,27.4,134
Normal birth weight (2500g+),30 to 34,2006,Athens,87,14.9,135
Normal birth weight (2500g+),35 to 39,2006,Athens,51,8.7,136
Normal birth weight (2500g+),40 to 44,2006,Athens,*,*,137
Normal birth weight (2500g+),45 and older,2006,Athens,*,*,138
Low birth weight (<2500g),Less than 15,2006,Auglaize,0,0.0,150
Low birth weight (<2500g),15 to 17,2006,Auglaize,0,0.0,151
Low birth weight (<2500g),18 to 19,2006,Auglaize,2,0.3,152
Low birth weight (<2500g),20 to 24,2006,Auglaize,14,2.3,153
Low birth weight (<2500g),25 to 29,2006,Auglaize,9,1.5,154
Low birth weight (<2500g),30 to 34,2006,Auglaize,6,1.0,155
Low birth weight (<2500g),35 to 39,2006,Auglaize,4,0.6,156
Low birth weight (<2500g),40 to 44,2006,Auglaize,*,*,157
Low birth weight (<2500g),45 and older,2006,Auglaize,0,0.0,158
Normal birth weight (2500g+),Less than 15,2006,Auglaize,0,0.0,160
Normal birth weight (2500g+),15 to 17,2006,Auglaize,*,*,161
Normal birth weight (2500g+),18 to 19,2006,Auglaize,49,7.9,162
Normal birth weight (2500g+),20 to 24,2006,Auglaize,149,24.1,163
Normal birth weight (2500g+),25 to 29,2006,Auglaize,209,33.9,164
Normal birth weight (2500g+),30 to 34,2006,Auglaize,103,16.7,165
Normal birth weight (2500g+),35 to 39,2006,Auglaize,50,8.1,166
Normal birth weight (2500g+),40 to 44,2006,Auglaize,*,*,167
Normal birth weight (2500g+),45 and older,2006,Auglaize,0,0.0,168
Low birth weight (<2500g),Less than 15,2006,Belmont,0,0.0,180
Low birth weight (<2500g),15 to 17,2006,Belmont,2,0.3,181
Low birth weight (<2500g),18 to 19,2006,Belmont,5,0.7,182
Low birth weight (<2500g),20 to 24,2006,Belmont,17,2.5,183
Low birth weight (<2500g),25 to 29,2006,Belmont,14,2.0,184
Low birth weight (<2500g),30 to 34,2006,Belmont,7,1.0,185
Low birth weight (<2500g),35 to 39,2006,Belmont,3,0.4,186
Low birth weight (<2500g),40 to 44,2006,Belmont,0,0.0,187
Low birth weight (<2500g),45 and older,2006,Belmont,0,0.0,188
Normal birth weight (2500g+),Less than 15,2006,Belmont,0,0.0,190
Normal birth weight (2500g+),15 to 17,2006,Belmont,*,*,191
Normal birth weight (2500g+),18 to 19,2006,Belmont,52,7.6,192
Normal birth weight (2500g+),20 to 24,2006,Belmont,198,28.9,193
Normal birth weight (2500g+),25 to 29,2006,Belmont,190,27.7,194
Normal birth weight (2500g+),30 to 34,2006,Belmont,121,17.7,195
Normal birth weight (2500g+),35 to 39,2006,Belmont,47,6.9,196
Normal birth weight (2500g+),40 to 44,2006,Belmont,*,*,197
Normal birth weight (2500g+),45 and older,2006,Belmont,*,*,198
Low birth weight (<2500g),Less than 15,2006,Brown,0,0.0,210
Low birth weight (<2500g),15 to 17,2006,Brown,*,*,211
Low birth weight (<2500g),18 to 19,2006,Brown,4,0.7,212
Low birth weight (<2500g),20 to 24,2006,Brown,9,1.6,213
Low birth weight (<2500g),25 to 29,2006,Brown,17,3.0,214
Low birth weight (<2500g),30 to 34,2006,Brown,15,2.6,215
Low birth weight (<2500g),35 to 39,2006,Brown,3,0.5,216
Low birth weight (<2500g),40 to 44,2006,Brown,*,*,217
Low birth weight (<2500g),45 and older,2006,Brown,0,0.0,218
Normal birth weight (2500g+),Less than 15,2006,Brown,*,*,220
Normal birth weight (2500g+),15 to 17,2006,Brown,*,*,221
Normal birth weight (2500g+),18 to 19,2006,Brown,42,7.4,222
Normal birth weight (2500g+),20 to 24,2006,Brown,195,34.2,223
Normal birth weight (2500g+),25 to 29,2006,Brown,145,25.4,224
Normal birth weight (2500g+),30 to 34,2006,Brown,80,14.0,225
Normal birth weight (2500g+),35 to 39,2006,Brown,31,5.4,226
Normal birth weight (2500g+),40 to 44,2006,Brown,*,*,227
Normal birth weight (2500g+),45 and older,2006,Brown,0,0.0,228
Low birth weight (<2500g),Less than 15,2006,Butler,*,*,240
Low birth weight (<2500g),15 to 17,2006,Butler,15,0.3,241
Low birth weight (<2500g),18 to 19,2006,Butler,33,0.6,242
Low birth weight (<2500g),20 to 24,2006,Butler,98,1.9,243
Low birth weight (<2500g),25 to 29,2006,Butler,113,2.2,244
Low birth weight (<2500g),30 to 34,2006,Butler,90,1.8,245
Low birth weight (<2500g),35 to 39,2006,Butler,37,0.7,246
Low birth weight (<2500g),40 to 44,2006,Butler,4,0.1,247
Low birth weight (<2500g),45 and older,2006,Butler,*,*,248
Normal birth weight (2500g+),Less than 15,2006,Butler,*,*,250
Normal birth weight (2500g+),15 to 17,2006,Butler,152,3.0,251
Normal birth weight (2500g+),18 to 19,2006,Butler,340,6.6,252
Normal birth weight (2500g+),20 to 24,2006,Butler,1236,24.2,253
Normal birth weight (2500g+),25 to 29,2006,Butler,1330,26.0,254
Normal birth weight (2500g+),30 to 34,2006,Butler,1088,21.3,255
Normal birth weight (2500g+),35 to 39,2006,Butler,481,9.4,256
Normal birth weight (2500g+),40 to 44,2006,Butler,82,1.6,257
Normal birth weight (2500g+),45 and older,2006,Butler,*,*,258
Low birth weight (<2500g),Less than 15,2006,Carroll,0,0.0,270
Low birth weight (<2500g),15 to 17,2006,Carroll,0,0.0,271
Low birth weight (<2500g),18 to 19,2006,Carroll,2,0.6,272
Low birth weight (<2500g),20 to 24,2006,Carroll,9,2.8,273
Low birth weight (<2500g),25 to 29,2006,Carroll,8,2.5,274
Low birth weight (<2500g),30 to 34,2006,Carroll,7,2.2,275
Low birth weight (<2500g),35 to 39,2006,Carroll,3,0.9,276
Low birth weight (<2500g),40 to 44,2006,Carroll,0,0.0,277
Low birth weight (<2500g),45 and older,2006,Carroll,0,0.0,278
Normal birth weight (2500g+),Less than 15,2006,Carroll,0,0.0,280
Normal birth weight (2500g+),15 to 17,2006,Carroll,*,*,281
Normal birth weight (2500g+),18 to 19,2006,Carroll,*,*,282
Normal birth weight (2500g+),20 to 24,2006,Carroll,87,27.0,283
Normal birth weight (2500g+),25 to 29,2006,Carroll,103,32.0,284
Normal birth weight (2500g+),30 to 34,2006,Carroll,55,17.1,285
Normal birth weight (2500g+),35 to 39,2006,Carroll,26,8.1,286
Normal birth weight (2500g+),40 to 44,2006,Carroll,*,*,287
Normal birth weight (2500g+),45 and older,2006,Carroll,0,0.0,288
Low birth weight (<2500g),Less than 15,2006,Champaign,0,0.0,300
Low birth weight (<2500g),15 to 17,2006,Champaign,1,0.2,301
Low birth weight (<2500g),18 to 19,2006,Champaign,5,1.0,302
Low birth weight (<2500g),20 to 24,2006,Champaign,13,2.6,303
Low birth weight (<2500g),25 to 29,2006,Champaign,11,2.2,304
Low birth weight (<2500g),30 to 34,2006,Champaign,8,1.6,305
Low birth weight (<2500g),35 to 39,2006,Champaign,3,0.6,306
Low birth weight (<2500g),40 to 44,2006,Champaign,0,0.0,307
Low birth weight (<2500g),45 and older,2006,Champaign,0,0.0,308
Normal birth weight (2500g+),Less than 15,2006,Champaign,*,*,310
Normal birth weight (2500g+),15 to 17,2006,Champaign,*,*,311
Normal birth weight (2500g+),18 to 19,2006,Champaign,46,9.3,312
Normal birth weight (2500g+),20 to 24,2006,Champaign,133,26.9,313
Normal birth weight (2500g+),25 to 29,2006,Champaign,134,27.1,314
Normal birth weight (2500g+),30 to 34,2006,Champaign,78,15.8,315
Normal birth weight (2500g+),35 to 39,2006,Champaign,36,7.3,316
Normal birth weight (2500g+),40 to 44,2006,Champaign,*,*,317
Normal birth weight (2500g+),45 and older,2006,Champaign,0,0.0,318
Low birth weight (<2500g),Less than 15,2006,Clark,0,0.0,330
Low birth weight (<2500g),15 to 17,2006,Clark,8,0.4,331
Low birth weight (<2500g),18 to 19,2006,Clark,10,0.6,332
Low birth weight (<2500g),20 to 24,2006,Clark,57,3.2,333
Low birth weight (<2500g),25 to 29,2006,Clark,39,2.2,334
Low birth weight (<2500g),30 to 34,2006,Clark,26,1.4,335
Low birth weight (<2500g),35 to 39,2006,Clark,12,0.7,336
Low birth weight (<2500g),40 to 44,2006,Clark,6,0.3,337
Low birth weight (<2500g),45 and older,2006,Clark,0,0.0,338
Normal birth weight (2500g+),Less than 15,2006,Clark,*,*,340
Normal birth weight (2500g+),15 to 17,2006,Clark,77,4.3,341
Normal birth weight (2500g+),18 to 19,2006,Clark,145,8.1,342
Normal birth weight (2500g+),20 to 24,2006,Clark,576,32.0,343
Normal birth weight (2500g+),25 to 29,2006,Clark,468,26.0,344
Normal birth weight (2500g+),30 to 34,2006,Clark,249,13.8,345
Normal birth weight (2500g+),35 to 39,2006,Clark,103,5.7,346
Normal birth weight (2500g+),40 to 44,2006,Clark,*,*,347
Normal birth weight (2500g+),45 and older,2006,Clark,*,*,348
Low birth weight (<2500g),Less than 15,2006,Clermont,0,0.0,360
Low birth weight (<2500g),15 to 17,2006,Clermont,8,0.3,361
Low birth weight (<2500g),18 to 19,2006,Clermont,14,0.5,362
Low birth weight (<2500g),20 to 24,2006,Clermont,59,2.0,363
Low birth weight (<2500g),25 to 29,2006,Clermont,52,1.8,364
Low birth weight (<2500g),30 to 34,2006,Clermont,52,1.8,365
Low birth weight (<2500g),35 to 39,2006,Clermont,26,0.9,366
Low birth weight (<2500g),40 to 44,2006,Clermont,5,0.2,367
Low birth weight (<2500g),45 and older,2006,Clermont,0,0.0,368
Normal birth weight (2500g+),Less than 15,2006,Clermont,0,0.0,370
Normal birth weight (2500g+),15 to 17,2006,Clermont,65,2.2,371
Normal birth weight (2500g+),18 to 19,2006,Clermont,170,5.9,372
Normal birth weight (2500g+),20 to 24,2006,Clermont,665,23.0,373
Normal birth weight (2500g+),25 to 29,2006,Clermont,809,27.9,374
Normal birth weight (2500g+),30 to 34,2006,Clermont,613,21.2,375
Normal birth weight (2500g+),35 to 39,2006,Clermont,298,10.3,376
Normal birth weight (2500g+),40 to 44,2006,Clermont,55,1.9,377
Normal birth weight (2500g+),45 and older,2006,Clermont,*,*,378
Low birth weight (<2500g),Less than 15,2006,Clinton,0,0.0,390
Low birth weight (<2500g),15 to 17,2006,Clinton,1,0.2,391
Low birth weight (<2500g),18 to 19,2006,Clinton,6,1.0,392
Low birth weight (<2500g),20 to 24,2006,Clinton,21,3.6,393
Low birth weight (<2500g),25 to 29,2006,Clinton,17,2.9,394
Low birth weight (<2500g),30 to 34,2006,Clinton,6,1.0,395
Low birth weight (<2500g),35 to 39,2006,Clinton,7,1.2,396
Low birth weight (<2500g),40 to 44,2006,Clinton,0,0.0,397
Low birth weight (<2500g),45 and older,2006,Clinton,*,*,398
Normal birth weight (2500g+),Less than 15,2006,Clinton,*,*,400
Normal birth weight (2500g+),15 to 17,2006,Clinton,*,*,401
Normal birth weight (2500g+),18 to 19,2006,Clinton,46,7.8,402
Normal birth weight (2500g+),20 to 24,2006,Clinton,186,31.5,403
Normal birth weight (2500g+),25 to 29,2006,Clinton,146,24.7,404
Normal birth weight (2500g+),30 to 34,2006,Clinton,81,13.7,405
Normal birth weight (2500g+),35 to 39,2006,Clinton,38,6.4,406
Normal birth weight (2500g+),40 to 44,2006,Clinton,*,*,407
Normal birth weight (2500g+),45 and older,2006,Clinton,*,*,408
Low birth weight (<2500g),Less than 15,2006,Columbiana,*,*,420
Low birth weight (<2500g),15 to 17,2006,Columbiana,3,0.2,421
Low birth weight (<2500g),18 to 19,2006,Columbiana,10,0.8,422
Low birth weight (<2500g),20 to 24,2006,Columbiana,27,2.2,423
Low birth weight (<2500g),25 to 29,2006,Columbiana,22,1.8,424
Low birth weight (<2500g),30 to 34,2006,Columbiana,20,1.6,425
Low birth weight (<2500g),35 to 39,2006,Columbiana,8,0.7,426
Low birth weight (<2500g),40 to 44,2006,Columbiana,1,0.1,427
Low birth weight (<2500g),45 and older,2006,Columbiana,*,*,428
Normal birth weight (2500g+),Less than 15,2006,Columbiana,0,0.0,430
Normal birth weight (2500g+),15 to 17,2006,Columbiana,38,3.1,431
Normal birth weight (2500g+),18 to 19,2006,Columbiana,103,8.4,432
Normal birth weight (2500g+),20 to 24,2006,Columbiana,347,28.3,433
Normal birth weight (2500g+),25 to 29,2006,Columbiana,354,28.9,434
Normal birth weight (2500g+),30 to 34,2006,Columbiana,189,15.4,435
Normal birth weight (2500g+),35 to 39,2006,Columbiana,81,6.6,436
Normal birth weight (2500g+),40 to 44,2006,Columbiana,*,*,437
Normal birth weight (2500g+),45 and older,2006,Columbiana,*,*,438
Low birth weight (<2500g),Less than 15,2006,Coshocton,0,0.0,450
Low birth weight (<2500g),15 to 17,2006,Coshocton,1,0.2,451
Low birth weight (<2500g),18 to 19,2006,Coshocton,5,1.2,452
Low birth weight (<2500g),20 to 24,2006,Coshocton,11,2.6,453
Low birth weight (<2500g),25 to 29,2006,Coshocton,10,2.3,454
Low birth weight (<2500g),30 to 34,2006,Coshocton,1,0.2,455
